listingid,fetch_date,order_date,price,rented
44637916,2021-04-08,2021-05-06,215,True
44623323,2021-05-01,2021-05-06,178,True
44623486,2021-05-06,2021-05-06,720,True
44610801,2021-04-24,2021-05-06,326,True
44608788,2021-04-02,2021-05-06,698,True
44617124,,2021-05-06,300,False
44583859,2021-03-05,2021-05-06,259,True
44584481,2021-04-01,2021-05-06,698,True
44587912,,2021-05-06,300,False
44589263,,2021-05-06,250,False
44591833,,2021-05-06,339,False
44597319,,2021-05-06,350,False
44598637,,2021-05-06,198,False
44583798,,2021-05-06,328,False
44582286,2021-04-09,2021-05-06,339,True
44569051,,2021-05-06,399,False
44562792,2021-05-06,2021-05-06,268,True
44562913,2021-05-06,2021-05-06,488,True
44564443,2021-04-26,2021-05-06,347,True
44564589,,2021-05-06,328,False
44564706,,2021-05-06,500,False
44543848,2021-03-05,2021-05-06,555,True
44551223,2021-05-06,2021-05-06,158,True
44546395,,2021-05-06,180,False
44525877,2021-05-05,2021-05-06,179,True
44521225,,2021-05-06,205,False
44507496,,2021-05-06,400,False
44513095,2021-05-06,2021-05-06,189,True
44508022,,2021-05-06,230,False
44494024,2021-05-06,2021-05-06,152,True
44497907,,2021-05-06,700,False
44498711,,2021-05-06,188,False
44498675,,2021-05-06,700,False
44500840,2021-04-24,2021-05-06,658,True
44480844,,2021-05-06,600,False
44468889,,2021-05-06,259,False
44454076,,2021-05-06,358,False
44456996,2021-05-03,2021-05-06,699,True
44436913,2021-03-05,2021-05-06,880,True
44449947,,2021-05-06,298,False
44450765,,2021-05-06,536,False
44435725,2021-05-03,2021-05-06,660,True
44409885,,2021-05-06,499,False
44412582,2021-05-04,2021-05-06,599,True
44397639,2021-05-06,2021-05-06,200,True
44383955,,2021-05-06,290,False
44399362,,2021-05-06,233,False
44390084,2021-04-09,2021-05-06,788,True
44362421,2021-04-11,2021-05-06,120,True
44381789,,2021-05-06,208,False
44382435,,2021-05-06,358,False
44367534,,2021-05-06,240,False
44370935,2021-04-11,2021-05-06,248,True
44367588,2021-04-24,2021-05-06,448,True
44346109,2021-05-04,2021-05-06,400,True
44330815,2021-03-16,2021-05-06,188,True
44341075,,2021-05-06,129,False
44344686,,2021-05-06,165,False
44323508,,2021-05-06,230,False
44325486,2021-03-21,2021-05-06,399,True
44273864,2021-05-06,2021-05-06,260,True
44283482,,2021-05-06,240,False
44273864,2021-05-06,2021-05-06,260,True
44283482,,2021-05-06,240,False
44284050,,2021-05-06,233,False
44269118,,2021-05-06,183,False
44283874,,2021-05-06,235,False
44269518,,2021-05-06,605,False
44270484,,2021-05-06,280,False
44272147,,2021-05-06,235,False
44256666,,2021-05-06,267,False
44252466,2021-03-05,2021-05-06,388,True
44214348,,2021-05-06,250,False
44238882,2021-04-30,2021-05-06,317,True
44199086,2021-05-06,2021-05-06,320,True
44186156,,2021-05-06,138,False
44201445,,2021-05-06,233,False
44199895,,2021-05-06,233,False
44202049,2021-03-23,2021-05-06,120,True
44188608,,2021-05-06,233,False
44172547,,2021-05-06,453,False
44177735,,2021-05-06,500,False
44181930,2021-05-03,2021-05-06,250,True
44181933,,2021-05-06,518,False
44182946,,2021-05-06,400,False
44164424,,2021-05-06,250,False
44164397,2021-05-06,2021-05-06,226,True
44170896,,2021-05-06,240,False
44171216,2021-05-04,2021-05-06,280,True
